CODGEO;LIBGEO;DENS;LIBDENS;PMUN13;P1;P2;P3;P4;P5;P6;P7
01127;Courmangoux;6;Rural à habitat dispersé;507;0,0;0,0;0,0;0,0;0,0;85,9;14,1
01128;Courtes;6;Rural à habitat dispersé;282;0,0;0,0;0,0;0,0;0,0;71,9;28,1
01129;Crans;7;Rural à habitat très dispersé;264;0,0;0,0;0,0;0,0;0,0;48,8;51,2
01130;Cras-sur-Reyssouze;6;Rural à habitat dispersé;1388;0,0;0,0;0,0;0,0;31,8;61,7;6,5
01133;Cressin-Rochefort;6;Rural à habitat dispersé;380;0,0;0,0;0,0;0,0;0,0;90,7;9,3
01134;Crottet;5;Bourgs ruraux;1717;0,0;3,2;0,0;0,0;72,9;23,9;0,1
01135;Crozet;4;Ceintures urbaines;2015;0,0;0,0;0,0;82,9;0,0;15,5;1,6
01136;Cruzilles-lès-Mépillat;6;Rural à habitat dispersé;831;0,0;0,0;0,0;0,0;0,0;81,1;18,9
01138;Culoz;5;Bourgs ruraux;2986;0,0;0,0;0,0;0,0;74,6;22,7;2,7
01139;Curciat-Dongalon;6;Rural à habitat dispersé;454;0,0;0,0;0,0;0,0;0,0;55,4;44,6
01140;Curtafond;6;Rural à habitat dispersé;721;0,0;0,0;0,0;0,0;0,0;62,5;37,5
01141;Cuzieu;6;Rural à habitat dispersé;404;0,0;0,0;0,0;0,0;0,0;94,8;5,2
01142;Dagneux;2;Centres urbains intermédiaires;4308;0,0;82,4;0,0;4,1;0,0;13,3;0,3
01143;Divonne-les-Bains;4;Ceintures urbaines;8762;0,0;0,0;0,0;87,1;0,0;11,9;1,0
01144;Dommartin;6;Rural à habitat dispersé;882;0,0;0,0;0,0;0,0;0,0;74,7;25,3
01145;Dompierre-sur-Veyle;6;Rural à habitat dispersé;1175;0,0;0,0;0,0;0,0;0,0;76,2;23,8
01146;Dompierre-sur-Chalaronne;6;Rural à habitat dispersé;402;0,0;0,0;0,0;0,0;0,0;88,1;11,9
01147;Domsure;7;Rural à habitat très dispersé;477;0,0;0,0;0,0;0,0;0,0;25,2;74,8
01148;Dortan;5;Bourgs ruraux;1855;0,0;0,0;0,0;0,0;52,9;38,8;8,3
01149;Douvres;5;Bourgs ruraux;1015;0,0;0,0;0,0;0,0;79,0;21,0;0,0
01150;Drom;6;Rural à habitat dispersé;218;0,0;0,0;0,0;0,0;0,0;100,0;0,0
01151;Druillat;6;Rural à habitat dispersé;1151;0,0;0,0;0,0;0,0;0,0;87,8;12,2
01152;Échallon;6;Rural à habitat dispersé;765;0,0;0,0;0,0;0,0;0,0;79,0;21,0
01153;Échenevex;4;Ceintures urbaines;1904;0,0;0,0;0,0;77,5;0,0;21,2;1,3
01154;Étrez;6;Rural à habitat dispersé;793;0,0;0,0;0,0;0,0;0,0;79,4;20,6
01155;Évosges;6;Rural à habitat dispersé;144;0,0;0,0;0,0;0,0;0,0;94,2;5,8
01156;Faramans;6;Rural à habitat dispersé;772;0,0;0,0;0,0;0,0;0,0;85,9;14,1
01157;Fareins;5;Bourgs ruraux;2199;0,0;0,0;0,0;1,5;59,8;38,6;0,0
01158;Farges;5;Bourgs ruraux;946;0,0;0,0;0,0;0,0;83,0;15,3;1,7
01159;Feillens;5;Bourgs ruraux;3186;0,0;0,0;0,0;0,0;83,1;14,9;2,0
01160;Ferney-Voltaire;2;Centres urbains intermédiaires;9236;0,0;71,3;0,0;28,7;0,0;0,0;0,0
01162;Flaxieu;6;Rural à habitat dispersé;65;0,0;0,0;0,0;0,0;0,0;100,0;0,0
01163;Foissiat;6;Rural à habitat dispersé;2005;0,0;0,0;0,0;0,0;0,0;76,7;23,3
01165;Francheleins;6;Rural à habitat dispersé;1482;0,0;0,0;0,0;31,5;0,0;66,0;2,5
01166;Frans;4;Ceintures urbaines;2087;0,0;0,0;0,0;95,0;0,0;2,1;3,0
01167;Garnerans;6;Rural à habitat dispersé;667;0,0;0,0;0,0;0,0;0,0;90,7;9,3
01169;Genouilleux;4;Ceintures urbaines;591;0,0;0,0;0,0;55,8;0,0;35,5;8,7
01170;Béard-Géovreissiat;3;Petites villes;999;0,0;0,0;85,6;0,0;0,0;11,5;2,9
01171;Géovreisset;4;Ceintures urbaines;928;0,0;0,0;0,0;77,1;0,0;22,9;0,0
01172;Germagnat;6;Rural à habitat dispersé;149;0,0;0,0;0,0;0,0;0,0;74,6;25,4
01173;Gex;2;Centres urbains intermédiaires;10893;0,0;60,7;0,0;32,3;0,0;6,5;0,5
01174;Giron;6;Rural à habitat dispersé;172;0,0;0,0;0,0;0,0;0,0;74,0;26,0
01175;Gorrevod;5;Bourgs ruraux;829;0,0;0,0;0,0;0,0;56,6;37,9;5,6
01176;Le Grand-Abergement;7;Rural à habitat très dispersé;127;0,0;0,0;0,0;0,0;0,0;44,6;55,4
01177;Grand-Corent;6;Rural à habitat dispersé;174;0,0;0,0;0,0;0,0;0,0;56,7;43,3
01179;Grièges;5;Bourgs ruraux;1925;0,0;0,0;0,0;0,1;81,5;17,3;1,2
01180;Grilly;6;Rural à habitat dispersé;780;0,0;0,0;0,0;1,1;0,0;96,8;2,1
01181;Groissiat;6;Rural à habitat dispersé;1176;0,0;0,0;0,0;43,4;0,0;56,0;0,7
01182;Groslée;6;Rural à habitat dispersé;361;0,0;0,0;0,0;0,0;0,0;62,6;37,4
01183;Guéreins;4;Ceintures urbaines;1418;0,0;0,0;0,0;80,8;0,0;18,4;0,8
01184;Hautecourt-Romanèche;6;Rural à habitat dispersé;795;0,0;0,0;0,0;0,0;0,0;76,5;23,5
01185;Hauteville-Lompnes;5;Bourgs ruraux;3919;0,0;0,0;0,0;0,0;76,4;12,1;11,5
01186;Hostiaz;6;Rural à habitat dispersé;86;0,0;0,0;0,0;0,0;0,0;82,5;17,5
01187;Hotonnes;7;Rural à habitat très dispersé;300;0,0;0,0;0,0;0,0;0,0;48,0;52,0
01188;Illiat;6;Rural à habitat dispersé;592;0,0;0,0;0,0;0,0;0,0;73,0;27,0
01189;Injoux-Génissiat;6;Rural à habitat dispersé;1130;0,0;0,0;0,0;0,0;0,0;86,1;13,9
01190;Innimond;6;Rural à habitat dispersé;117;0,0;0,0;0,0;0,0;0,0;91,3;8,7
01191;Izenave;6;Rural à habitat dispersé;170;0,0;0,0;0,0;0,0;0,0;91,2;8,8
01192;Izernore;5;Bourgs ruraux;2312;0,0;0,0;0,0;0,0;72,6;19,6;7,9
01193;Izieu;6;Rural à habitat dispersé;221;0,0;0,0;0,0;0,0;0,0;90,4;9,6
01194;Jassans-Riottier;4;Ceintures urbaines;6254;0,0;41,0;0,0;57,1;0,0;1,8;0,0
01195;Jasseron;5;Bourgs ruraux;1682;0,0;0,0;0,0;0,0;67,3;26,2;6,5
01196;Jayat;6;Rural à habitat dispersé;1099;0,0;0,0;0,0;0,0;8,0;77,2;14,8
01197;Journans;6;Rural à habitat dispersé;345;0,0;0,0;0,0;0,0;0,0;98,9;1,1
01198;Joyeux;7;Rural à habitat très dispersé;263;0,0;0,0;0,0;0,0;0,0;34,0;66,0
01199;Jujurieux;5;Bourgs ruraux;2172;0,0;0,0;0,0;0,0;65,1;27,7;7,3
01200;Labalme;6;Rural à habitat dispersé;206;0,0;0,0;0,0;0,0;0,0;97,0;3,0
01202;Lagnieu;3;Petites villes;6889;0,0;0,0;83,2;0,0;0,0;14,8;2,0
01203;Laiz;5;Bourgs ruraux;1187;0,0;0,0;0,0;0,0;50,6;41,9;7,5
01204;Lalleyriat;6;Rural à habitat dispersé;261;0,0;0,0;0,0;0,0;0,0;60,8;39,2
